k,c,freq,rms,variacao,mecanismo,oscilacao,amplitude_m,rms_harmonico,transmissibilidade
2200.0,200.0,1.4,0.626173,k,3,x,0.01,0.54827,1.1420887518923157
2200.0,200.0,1.5,0.717353,k,3,x,0.01,0.628098,1.1421036207725546
2200.0,200.0,1.6,0.813492,k,3,x,0.01,0.712912,1.1410833314630697
2200.0,200.0,1.7,0.9232,k,3,x,0.01,0.809216,1.140857323631762
2200.0,200.0,1.8,1.02859,k,3,x,0.01,0.901631,1.1408103758632966
2200.0,200.0,1.9,1.14917,k,3,x,0.01,1.009191,1.1387041699737712
2200.0,200.0,2.0,1.2713,k,3,x,0.01,1.116618,1.1385272313360522
2200.0,200.0,2.1,1.39463,k,3,x,0.01,1.228716,1.1350303894471954
2200.0,200.0,2.2,1.53371,k,3,x,0.01,1.354252,1.1325144803182863
2200.0,200.0,2.3,1.66341,k,3,x,0.01,1.473076,1.1292085404962133
2200.0,200.0,2.4,1.808,k,3,x,0.01,1.609644,1.1232297327856346
2200.0,200.0,2.5,1.95359,k,3,x,0.01,1.744716,1.1197180515338887
2200.0,200.0,2.6,2.09539,k,3,x,0.01,1.884053,1.112171472883194
2200.0,200.0,2.7,2.25515,k,3,x,0.01,2.038847,1.1060908444822
2200.0,200.0,2.8,2.40131,k,3,x,0.01,2.184083,1.0994591322765663
2200.0,200.0,2.9,2.56127,k,3,x,0.01,2.349628,1.0900746841627695
2200.0,200.0,3.0,2.7231,k,3,x,0.01,2.512391,1.0838679170559042
2200.0,200.0,3.1,2.87646,k,3,x,0.01,2.678924,1.0737370675689195
2200.0,200.0,3.2,3.05028,k,3,x,0.01,2.862999,1.065414273634046
2200.0,200.0,3.3,3.20791,k,3,x,0.01,3.034651,1.057093550460992
2200.0,200.0,3.4,3.37819,k,3,x,0.01,3.229143,1.0461568286074665
2200.0,200.0,3.5,3.55246,k,3,x,0.01,3.419643,1.0388394344087963
2200.0,200.0,3.6,3.71456,k,3,x,0.01,3.613328,1.0280162775148007
2200.0,200.0,3.7,3.89977,k,3,x,0.01,3.82671,1.0190921182948278
2200.0,200.0,3.8,4.06786,k,3,x,0.01,4.024783,1.0107029372763698
2200.0,200.0,3.9,4.24789,k,3,x,0.01,4.248188,0.999929852445325
2200.0,200.0,4.0,4.43497,k,3,x,0.01,4.466473,0.9929467837374143
2200.0,200.0,4.1,4.60802,k,3,x,0.01,4.687267,0.9830931329493283
2200.0,200.0,4.2,4.81253,k,3,x,0.01,4.929977,0.9761769679655705
2200.0,200.0,4.3,4.83906,k,3,x,0.01,5.154477,0.9388071767513949
2200.0,200.0,4.4,4.92383,k,3,x,0.01,5.406764,0.9106796597743123
2200.0,200.0,4.5,5.31514,k,3,x,0.01,5.65288,0.9402534637211476
2200.0,200.0,4.6,5.51676,k,3,x,0.01,5.900739,0.9349269642327851
2200.0,200.0,4.7,5.66487,k,3,x,0.01,6.172801,0.9177146647040784
2200.0,200.0,4.8,5.78703,k,3,x,0.01,6.423734,0.9008825707913808
2200.0,200.0,4.9,5.94422,k,3,x,0.01,6.704869,0.8865527424920605
2200.0,200.0,5.0,6.12182,k,3,x,0.01,6.978864,0.8771943399384198
